Outlet_ID,Outlet_Name,Staff_Score,Workforce_Category,Workforce_Alert_Level,Latest_Scheduling_Status,Marketing_Score,Effectiveness_Category,Marketing_Alert_Level,Average_Campaign_ROI,Inventory_Score,High_Risk_SKUs,Recommended_Replenishment_Units,Inventory_Priority,Inventory_Action,Inventory_Status,Operational_Health_Score,Cross_Functional_Risks,Primary_Focus_Area,Operational_Priority,Operational_Insight,Recommended_Action
OUT0011,Franchise Outlet 0011,58.45,Needs Improvement,High,Overstaffed,41.93,Moderate,High,1.22,100.0,0,315,Medium,MONITOR_WASTAGE,Healthy,65.13,2,Marketing,Medium,Operational health is 65.1/100 with 2 component(s) below 70. The weakest area is marketing; the current inventory action is monitor wastage.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0012,Franchise Outlet 0012,93.56,Top Performer,Medium,Understaffed,62.94,Moderate,Medium,2.22,100.0,0,1028,Low,NO_ACTION,Healthy,84.78,1,Marketing,Medium,Operational health is 84.8/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0013,Franchise Outlet 0013,91.16,Top Performer,Medium,Understaffed,60.77,Moderate,Medium,1.71,100.0,0,389,Medium,MONITOR_WASTAGE,Healthy,83.18,1,Marketing,Medium,Operational health is 83.2/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is monitor wastage.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0014,Franchise Outlet 0014,64.52,Needs Improvement,High,Overstaffed,55.11,Moderate,Low,1.82,35.0,0,602,Medium,REORDER,Low,52.37,3,Inventory,High,Operational health is 52.4/100 with 3 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,Complete the inventory action and plan 602 replenishment units before the next demand cycle.
OUT0015,Franchise Outlet 0015,82.3,Meets Expectations,Medium,Understaffed,56.56,Moderate,Low,1.98,35.0,0,1106,Medium,REORDER,Low,59.1,2,Inventory,Medium,Operational health is 59.1/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 1,106 replenishment units before the next demand cycle."
OUT0016,Franchise Outlet 0016,85.03,Meets Expectations,Medium,Overstaffed,75.62,High Performing,Low,2.33,35.0,0,1612,Medium,REORDER,Low,66.73,1,Inventory,Medium,Operational health is 66.7/100 with 1 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 1,612 replenishment units before the next demand cycle."
OUT0017,Franchise Outlet 0017,90.6,Meets Expectations,Medium,Understaffed,68.33,Moderate,Low,1.94,100.0,0,1407,Low,NO_ACTION,Healthy,85.63,1,Marketing,Medium,Operational health is 85.6/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0018,Franchise Outlet 0018,77.74,Meets Expectations,Medium,Understaffed,66.74,Moderate,Low,1.95,100.0,0,720,Medium,MONITOR_WASTAGE,Healthy,80.57,1,Marketing,Medium,Operational health is 80.6/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is monitor wastage.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0019,Franchise Outlet 0019,71.28,Meets Expectations,Medium,Overstaffed,65.8,Moderate,Low,2.03,100.0,0,469,Low,NO_ACTION,Healthy,77.98,1,Marketing,Medium,Operational health is 78.0/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0020,Franchise Outlet 0020,57.65,Needs Improvement,High,Overstaffed,43.59,Moderate,High,1.31,35.0,0,442,Medium,REORDER,Low,45.93,3,Inventory,High,Operational health is 45.9/100 with 3 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,Complete the inventory action and plan 442 replenishment units before the next demand cycle.
OUT0021,Franchise Outlet 0021,95.63,Top Performer,Medium,Understaffed,85.55,High Performing,Low,2.71,35.0,0,3707,Medium,REORDER,Low,73.91,1,Inventory,Medium,Operational health is 73.9/100 with 1 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 3,707 replenishment units before the next demand cycle."
OUT0022,Franchise Outlet 0022,62.82,Needs Improvement,High,Overstaffed,42.89,Moderate,High,1.23,35.0,0,748,Medium,REORDER,Low,47.5,3,Inventory,High,Operational health is 47.5/100 with 3 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,Complete the inventory action and plan 748 replenishment units before the next demand cycle.
OUT0023,Franchise Outlet 0023,69.16,Meets Expectations,Medium,Overstaffed,53.97,Moderate,Low,1.45,100.0,0,329,Medium,MONITOR_WASTAGE,Healthy,73.1,2,Marketing,Medium,Operational health is 73.1/100 with 2 component(s) below 70. The weakest area is marketing; the current inventory action is monitor wastage.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0024,Franchise Outlet 0024,76.44,Meets Expectations,Low,Balanced,53.27,Moderate,Low,1.5,35.0,0,756,Medium,REORDER,Low,55.9,2,Inventory,High,Operational health is 55.9/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,Complete the inventory action and plan 756 replenishment units before the next demand cycle.
OUT0025,Franchise Outlet 0025,91.59,Top Performer,Medium,Understaffed,60.34,Moderate,Medium,1.94,35.0,0,851,Medium,REORDER,Low,63.68,2,Inventory,Medium,Operational health is 63.7/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,Complete the inventory action and plan 851 replenishment units before the next demand cycle.
OUT0026,Franchise Outlet 0026,93.29,Top Performer,Medium,Understaffed,73.86,Moderate,Low,2.5,100.0,0,1306,Medium,MONITOR_WASTAGE,Healthy,88.5,0,Marketing,Medium,Operational health is 88.5/100 with 0 component(s) below 70. The weakest area is marketing; the current inventory action is monitor wastage.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0027,Franchise Outlet 0027,73.62,Meets Expectations,Low,Balanced,53.77,Moderate,Medium,2.25,100.0,0,743,Low,NO_ACTION,Healthy,74.59,1,Marketing,Medium,Operational health is 74.6/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0028,Franchise Outlet 0028,95.04,Top Performer,Medium,Understaffed,79.16,High Performing,Low,2.82,35.0,0,2969,Medium,REORDER,Low,71.47,1,Inventory,Medium,Operational health is 71.5/100 with 1 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 2,969 replenishment units before the next demand cycle."
OUT0029,Franchise Outlet 0029,69.16,Meets Expectations,Medium,Overstaffed,51.42,Moderate,Medium,1.75,35.0,0,864,Medium,REORDER,Low,52.7,3,Inventory,High,Operational health is 52.7/100 with 3 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,Complete the inventory action and plan 864 replenishment units before the next demand cycle.
OUT0030,Franchise Outlet 0030,56.58,Needs Improvement,High,Overstaffed,49.85,Moderate,Medium,1.28,100.0,0,119,Low,NO_ACTION,Healthy,67.25,2,Marketing,Medium,Operational health is 67.2/100 with 2 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0031,Franchise Outlet 0031,83.75,Meets Expectations,Medium,Understaffed,63.73,Moderate,Low,2.42,100.0,0,1329,Medium,MONITOR_WASTAGE,Healthy,81.62,1,Marketing,Medium,Operational health is 81.6/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is monitor wastage.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0032,Franchise Outlet 0032,62.99,Needs Improvement,High,Overstaffed,58.99,Moderate,Low,2.23,100.0,0,757,Low,NO_ACTION,Healthy,72.69,2,Marketing,Medium,Operational health is 72.7/100 with 2 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0033,Franchise Outlet 0033,94.73,Top Performer,Medium,Understaffed,71.75,Moderate,Medium,2.77,100.0,0,3326,Medium,MONITOR_WASTAGE,Healthy,88.27,0,Marketing,Medium,Operational health is 88.3/100 with 0 component(s) below 70. The weakest area is marketing; the current inventory action is monitor wastage.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0034,Franchise Outlet 0034,89.9,Meets Expectations,Medium,Understaffed,64.37,Moderate,Low,2.2,35.0,0,1670,Medium,REORDER,Low,64.49,2,Inventory,Medium,Operational health is 64.5/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 1,670 replenishment units before the next demand cycle."
OUT0035,Franchise Outlet 0035,87.69,Meets Expectations,Medium,Understaffed,65.16,Moderate,Low,1.43,100.0,0,484,Low,NO_ACTION,Healthy,83.5,1,Marketing,Medium,Operational health is 83.5/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0036,Franchise Outlet 0036,72.97,Meets Expectations,Low,Balanced,55.74,Moderate,Low,1.9,100.0,0,1366,Medium,MONITOR_WASTAGE,Healthy,75.05,1,Marketing,Medium,Operational health is 75.0/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is monitor wastage.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0037,Franchise Outlet 0037,69.23,Meets Expectations,Low,Balanced,53.87,Moderate,Low,1.78,35.0,0,705,Medium,REORDER,Low,53.58,3,Inventory,High,Operational health is 53.6/100 with 3 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,Complete the inventory action and plan 705 replenishment units before the next demand cycle.
OUT0038,Franchise Outlet 0038,62.41,Needs Improvement,High,Overstaffed,56.01,Moderate,Medium,1.42,100.0,0,445,Medium,MONITOR_WASTAGE,Healthy,71.45,2,Marketing,Medium,Operational health is 71.5/100 with 2 component(s) below 70. The weakest area is marketing; the current inventory action is monitor wastage.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0039,Franchise Outlet 0039,93.45,Top Performer,Medium,Understaffed,73.37,Moderate,Low,2.51,35.0,0,2145,Medium,REORDER,Low,68.89,1,Inventory,Medium,Operational health is 68.9/100 with 1 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 2,145 replenishment units before the next demand cycle."
OUT0040,Franchise Outlet 0040,72.33,Meets Expectations,Low,Balanced,51.88,Moderate,Medium,2.07,35.0,0,1039,Medium,REORDER,Low,53.97,2,Inventory,High,Operational health is 54.0/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 1,039 replenishment units before the next demand cycle."
OUT0041,Franchise Outlet 0041,91.64,Top Performer,Medium,Understaffed,69.78,Moderate,Low,2.36,35.0,0,2993,Medium,REORDER,Low,67.0,2,Inventory,Medium,Operational health is 67.0/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 2,993 replenishment units before the next demand cycle."
OUT0042,Franchise Outlet 0042,55.59,Needs Improvement,High,Overstaffed,51.15,Moderate,Low,1.16,100.0,0,182,Low,NO_ACTION,Healthy,67.36,2,Marketing,Medium,Operational health is 67.4/100 with 2 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0043,Franchise Outlet 0043,67.66,Meets Expectations,Medium,Overstaffed,53.65,Moderate,Medium,1.27,35.0,0,389,Medium,REORDER,Low,52.96,3,Inventory,High,Operational health is 53.0/100 with 3 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,Complete the inventory action and plan 389 replenishment units before the next demand cycle.
OUT0044,Franchise Outlet 0044,91.66,Top Performer,Medium,Understaffed,67.48,Moderate,Low,2.56,100.0,0,2207,Low,NO_ACTION,Healthy,85.7,1,Marketing,Medium,Operational health is 85.7/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0045,Franchise Outlet 0045,54.79,Needs Improvement,High,Overstaffed,47.89,Moderate,Medium,1.0,35.0,0,307,Medium,REORDER,Low,46.44,3,Inventory,High,Operational health is 46.4/100 with 3 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,Complete the inventory action and plan 307 replenishment units before the next demand cycle.
OUT0046,Franchise Outlet 0046,78.94,Meets Expectations,Medium,Understaffed,54.94,Moderate,Medium,1.51,35.0,0,1187,Medium,REORDER,Low,57.36,2,Inventory,High,Operational health is 57.4/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 1,187 replenishment units before the next demand cycle."
OUT0047,Franchise Outlet 0047,73.26,Meets Expectations,Medium,Overstaffed,63.76,Moderate,Low,1.68,10.0,1,1130,High,URGENT_REORDER,Critical,50.96,2,Inventory,High,Operational health is 51.0/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is urgent reorder.,"Complete the inventory action and plan 1,130 replenishment units before the next demand cycle."
OUT0048,Franchise Outlet 0048,91.49,Top Performer,Medium,Understaffed,57.56,Moderate,Medium,1.98,100.0,0,375,Medium,MONITOR_WASTAGE,Healthy,82.17,1,Marketing,Medium,Operational health is 82.2/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is monitor wastage.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0049,Franchise Outlet 0049,95.3,Top Performer,Medium,Understaffed,67.84,Moderate,Low,2.57,100.0,0,943,Low,NO_ACTION,Healthy,87.1,1,Marketing,Medium,Operational health is 87.1/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0050,Franchise Outlet 0050,65.83,Needs Improvement,High,Overstaffed,42.9,Moderate,Medium,1.17,35.0,0,367,Medium,REORDER,Low,48.56,3,Inventory,High,Operational health is 48.6/100 with 3 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,Complete the inventory action and plan 367 replenishment units before the next demand cycle.
OUT0051,Franchise Outlet 0051,92.77,Top Performer,Medium,Understaffed,62.2,Moderate,Low,2.48,10.0,1,2940,High,URGENT_REORDER,Critical,57.24,2,Inventory,High,Operational health is 57.2/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is urgent reorder.,"Complete the inventory action and plan 2,940 replenishment units before the next demand cycle."
OUT0052,Franchise Outlet 0052,65.15,Needs Improvement,High,Overstaffed,60.07,Moderate,Low,1.19,35.0,0,995,Medium,REORDER,Low,54.33,3,Inventory,High,Operational health is 54.3/100 with 3 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,Complete the inventory action and plan 995 replenishment units before the next demand cycle.
OUT0053,Franchise Outlet 0053,73.18,Meets Expectations,Low,Balanced,53.35,Moderate,Medium,1.33,100.0,0,871,Medium,MONITOR_WASTAGE,Healthy,74.29,1,Marketing,Medium,Operational health is 74.3/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is monitor wastage.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0054,Franchise Outlet 0054,59.27,Needs Improvement,High,Overstaffed,44.85,Moderate,High,1.35,35.0,0,719,Medium,REORDER,Low,46.94,3,Inventory,High,Operational health is 46.9/100 with 3 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,Complete the inventory action and plan 719 replenishment units before the next demand cycle.
OUT0055,Franchise Outlet 0055,65.23,Needs Improvement,High,Overstaffed,54.19,Moderate,Medium,2.03,100.0,0,568,Low,NO_ACTION,Healthy,71.8,2,Marketing,Medium,Operational health is 71.8/100 with 2 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0056,Franchise Outlet 0056,61.37,Needs Improvement,High,Overstaffed,52.73,Moderate,Medium,1.69,100.0,0,1053,Medium,MONITOR_WASTAGE,Healthy,69.94,2,Marketing,Medium,Operational health is 69.9/100 with 2 component(s) below 70. The weakest area is marketing; the current inventory action is monitor wastage.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0057,Franchise Outlet 0057,83.73,Meets Expectations,Medium,Understaffed,56.9,Moderate,Low,1.4,100.0,0,1073,Low,NO_ACTION,Healthy,79.22,1,Marketing,Medium,Operational health is 79.2/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0058,Franchise Outlet 0058,77.14,Meets Expectations,Medium,Understaffed,56.46,Moderate,Low,1.43,35.0,0,1190,Medium,REORDER,Low,57.26,2,Inventory,Medium,Operational health is 57.3/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 1,190 replenishment units before the next demand cycle."
OUT0059,Franchise Outlet 0059,77.31,Meets Expectations,Low,Balanced,64.39,Moderate,Low,1.72,100.0,0,636,Low,NO_ACTION,Healthy,79.6,1,Marketing,Medium,Operational health is 79.6/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0060,Franchise Outlet 0060,79.56,Meets Expectations,Medium,Understaffed,54.29,Moderate,Medium,1.39,100.0,0,994,Low,NO_ACTION,Healthy,76.85,1,Marketing,Medium,Operational health is 76.8/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0061,Franchise Outlet 0061,92.09,Top Performer,Medium,Understaffed,71.48,Moderate,Low,2.89,35.0,0,2144,Medium,REORDER,Low,67.75,1,Inventory,Medium,Operational health is 67.8/100 with 1 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 2,144 replenishment units before the next demand cycle."
OUT0062,Franchise Outlet 0062,68.37,Meets Expectations,Medium,Overstaffed,57.71,Moderate,Low,1.12,100.0,0,184,Low,NO_ACTION,Healthy,74.13,2,Marketing,Medium,Operational health is 74.1/100 with 2 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0063,Franchise Outlet 0063,77.19,Meets Expectations,Medium,Understaffed,53.13,Moderate,Low,1.93,100.0,0,641,Medium,MONITOR_WASTAGE,Healthy,75.61,1,Marketing,Medium,Operational health is 75.6/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is monitor wastage.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0064,Franchise Outlet 0064,68.27,Meets Expectations,Medium,Overstaffed,54.46,Moderate,Medium,1.45,35.0,0,757,Medium,REORDER,Low,53.46,3,Inventory,High,Operational health is 53.5/100 with 3 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,Complete the inventory action and plan 757 replenishment units before the next demand cycle.
OUT0065,Franchise Outlet 0065,93.29,Top Performer,Medium,Understaffed,63.96,Moderate,Low,1.71,35.0,0,1922,Medium,REORDER,Low,65.54,2,Inventory,Medium,Operational health is 65.5/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 1,922 replenishment units before the next demand cycle."
OUT0066,Franchise Outlet 0066,88.25,Meets Expectations,Medium,Understaffed,52.15,Moderate,Low,1.6,100.0,0,457,Medium,MONITOR_WASTAGE,Healthy,79.14,1,Marketing,Medium,Operational health is 79.1/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is monitor wastage.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0067,Franchise Outlet 0067,92.58,Top Performer,Medium,Understaffed,61.22,Moderate,Low,2.54,100.0,0,701,Low,NO_ACTION,Healthy,83.83,1,Marketing,Medium,Operational health is 83.8/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0068,Franchise Outlet 0068,73.7,Meets Expectations,Low,Balanced,55.4,Moderate,Medium,2.34,100.0,0,740,Medium,MONITOR_WASTAGE,Healthy,75.18,1,Marketing,Medium,Operational health is 75.2/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is monitor wastage.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0069,Franchise Outlet 0069,67.86,Meets Expectations,Medium,Overstaffed,52.87,Moderate,Medium,1.46,100.0,0,680,Low,NO_ACTION,Healthy,72.26,2,Marketing,Medium,Operational health is 72.3/100 with 2 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0070,Franchise Outlet 0070,72.63,Meets Expectations,Medium,Overstaffed,64.94,Moderate,Low,1.81,10.0,1,1414,High,URGENT_REORDER,Critical,51.15,2,Inventory,High,Operational health is 51.1/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is urgent reorder.,"Complete the inventory action and plan 1,414 replenishment units before the next demand cycle."
OUT0071,Franchise Outlet 0071,70.63,Meets Expectations,Low,Balanced,56.02,Moderate,Low,2.16,35.0,0,825,Medium,REORDER,Low,54.83,2,Inventory,High,Operational health is 54.8/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,Complete the inventory action and plan 825 replenishment units before the next demand cycle.
OUT0072,Franchise Outlet 0072,70.33,Meets Expectations,Medium,Overstaffed,58.17,Moderate,Medium,1.58,100.0,0,1232,Low,NO_ACTION,Healthy,74.97,1,Marketing,Medium,Operational health is 75.0/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0073,Franchise Outlet 0073,61.31,Needs Improvement,High,Overstaffed,44.49,Moderate,High,1.02,35.0,0,318,Medium,REORDER,Low,47.53,3,Inventory,High,Operational health is 47.5/100 with 3 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,Complete the inventory action and plan 318 replenishment units before the next demand cycle.
OUT0074,Franchise Outlet 0074,92.47,Top Performer,Medium,Understaffed,78.22,High Performing,Low,2.03,35.0,0,2489,Medium,REORDER,Low,70.24,1,Inventory,Medium,Operational health is 70.2/100 with 1 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 2,489 replenishment units before the next demand cycle."
OUT0075,Franchise Outlet 0075,75.39,Meets Expectations,Medium,Understaffed,55.22,Moderate,Low,1.52,100.0,0,482,Low,NO_ACTION,Healthy,75.71,1,Marketing,Medium,Operational health is 75.7/100 with 1 component(s) below 70. The weakest area is marketing; the current inventory action is no action.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0076,Franchise Outlet 0076,69.95,Meets Expectations,Medium,Overstaffed,51.62,Moderate,Medium,2.08,100.0,0,809,Medium,MONITOR_WASTAGE,Healthy,72.55,2,Marketing,Medium,Operational health is 72.5/100 with 2 component(s) below 70. The weakest area is marketing; the current inventory action is monitor wastage.,"Review campaign ROI and engagement by campaign type, and reallocate spend to the strongest conversion sources."
OUT0077,Franchise Outlet 0077,93.97,Top Performer,Medium,Understaffed,64.0,Moderate,Low,2.02,35.0,0,1374,Medium,REORDER,Low,65.79,2,Inventory,Medium,Operational health is 65.8/100 with 2 component(s) below 70. The weakest area is inventory; the current inventory action is reorder.,"Complete the inventory action and plan 1,374 replenishment units before the next demand cycle."
